Region,aglparq
USA,NormalDistribution(-0.0119178921569, 0.0182356597477)
CAN,NormalDistribution(-0.0158143939394, 0.00945384554959)
WEU,NormalDistribution(-0.013850308642, 0.0131975080996)
JPK,NormalDistribution(-0.0235887096774, 0.0299400844149)
ANZ,NormalDistribution(-0.0155903909385, 0.0374712492013)
EEU,NormalDistribution(-0.0181573275862, 0.047688420516)
FSU,NormalDistribution(-0.0163118735427, 0.0388313181356)
MDE,NormalDistribution(-0.0165914930104, 0.0373495478918)
CAM,NormalDistribution(-0.0303977272727, 0.0427671908556)
LAM,NormalDistribution(-0.00435, 0.00280772150263)
SAS,NormalDistribution(-0.0112699468085, 0.0180958821909)
SEA,NormalDistribution(-0.00965277777778, 0.00843513605824)
CHI,NormalDistribution(-0.016826556031, 0.0396988494314)
MAF,NormalDistribution(-0.0139453125, 0.0265770062631)
SSA,NormalDistribution(-0.0100328947368, 0.0201799487192)
SIS,NormalDistribution(-0.016614768455, 0.0399015737835)
