Region,ccpqbm
USA,NormalDistribution(2.8314; 62.308)
CAN,NormalDistribution(2.8314; 62.308)
WEU,NormalDistribution(2.8279; 23.8241)
JPK,NormalDistribution(1.2018; 24.9514)
ANZ,NormalDistribution(2.8314; 53.218)
EEU,NormalDistribution(2.8314; 27.0704)
FSU,NormalDistribution(2.8314; 62.308)
MDE,NormalDistribution(2.7443; 30.2614)
CAM,NormalDistribution(2.7085; 45.5507)
LAM,NormalDistribution(2.8094; 32.723)
SAS,NormalDistribution(2.8314; 51.1794)
SEA,NormalDistribution(-1.1081; 12.0474)
CHI,NormalDistribution(2.0193; 43.8025)
MAF,NormalDistribution(2.8314; 35.4341)
SSA,NormalDistribution(2.6771; 16.5915)
SIS,NormalDistribution(0.5138; 7.4905)
