Region|chmlbm
USA|NormalDistribution(1.0988, 1.0738)
CAN|NormalDistribution(1.0705, 1.0738)
WEU|NormalDistribution(0.4022, 0.4226)
JPK|NormalDistribution(1.0356, 1.1234)
ANZ|NormalDistribution(0.4493, 0.9147)
EEU|NormalDistribution(0.6119, 0.4767)
FSU|NormalDistribution(0.6468, 1.0738)
MDE|NormalDistribution(1.0931, 0.4791)
CAM|NormalDistribution(0.9144, 0.8887)
LAM|NormalDistribution(0.5893, 0.5874)
SAS|NormalDistribution(1.6317, 0.8373)
SEA|NormalDistribution(0.8545, 0.4641)
CHI|NormalDistribution(0.7565, 1.0335)
MAF|NormalDistribution(1.0409, 0.5662)
SSA|NormalDistribution(0.8682, 0.3408)
SIS|NormalDistribution(1.0227, 0.4957)
