Region|chplbm
USA|NormalDistribution(34.9374, 42.9155)
CAN|NormalDistribution(27.328, 42.9155)
WEU|NormalDistribution(25.757, 17.8447)
JPK|NormalDistribution(8.2986, 17.7713)
ANZ|NormalDistribution(18.8372, 36.7267)
EEU|NormalDistribution(29.6249, 18.8672)
FSU|NormalDistribution(36.4415, 42.9155)
MDE|NormalDistribution(50.5493, 20.6547)
CAM|NormalDistribution(44.7697, 34.4286)
LAM|NormalDistribution(33.7621, 23.0347)
SAS|NormalDistribution(74.5092, 36.2131)
SEA|NormalDistribution(-18.7223, 8.1867)
CHI|NormalDistribution(82.0355, 29.0776)
MAF|NormalDistribution(50.4842, 23.0206)
SSA|NormalDistribution(43.4397, 13.5145)
SIS|NormalDistribution(16.9938, 8.0489)
