Region,chpqbm
USA,NormalDistribution(1.7285, 35.2319)
CAN,NormalDistribution(1.7285, 35.2319)
WEU,NormalDistribution(1.7966, 14.6498)
JPK,NormalDistribution(0.7493, 14.5895)
ANZ,NormalDistribution(1.7286, 30.1512)
EEU,NormalDistribution(1.7531, 15.4893)
FSU,NormalDistribution(1.7285, 35.2319)
MDE,NormalDistribution(1.7011, 16.9568)
CAM,NormalDistribution(1.662, 28.2646)
LAM,NormalDistribution(1.7535, 18.9106)
SAS,NormalDistribution(1.7378, 29.7296)
SEA,NormalDistribution(-0.6683, 6.721)
CHI,NormalDistribution(1.2095, 23.8716)
MAF,NormalDistribution(1.7096, 18.8991)
SSA,NormalDistribution(1.6578, 11.0949)
SIS,NormalDistribution(0.4223, 6.6079)
