Region|dlbm
USA|NormalDistribution(20000.0, 10000.0)
CAN|NormalDistribution(970.0, 970.0)
WEU|NormalDistribution(4212.0, 1273.0)
JPK|NormalDistribution(2687.0, 1213.0)
ANZ|NormalDistribution(3135.0, 2920.0)
EEU|NormalDistribution(1889.0, 860.0)
FSU|NormalDistribution(15138.0, 15138.0)
MDE|NormalDistribution(1621.0, 1025.0)
CAM|NormalDistribution(12004.0, 8033.0)
LAM|NormalDistribution(29407.0, 11847.0)
SAS|NormalDistribution(81275.0, 49361.0)
SEA|NormalDistribution(157286.0, 90170.0)
CHI|NormalDistribution(35000.0, 17500.0)
MAF|NormalDistribution(8354.0, 3478.0)
SSA|NormalDistribution(126602.0, 63820.0)
SIS|NormalDistribution(1505.0, 628.0)
