Region,drylandlossparam
USA,NormalDistribution(0.58343316033, 0.0310749451958)
CAN,NormalDistribution(0.26051505319, 0.0137582984542)
WEU,NormalDistribution(0.27331414941, 0.0146688810943)
JPK,NormalDistribution(0.412066944374, 0.0268279386449)
ANZ,NormalDistribution(0.548496484508, 0.035309009529)
EEU,NormalDistribution(0.193491238231, 0.0120297038765)
FSU,NormalDistribution(0.555487676095, 0.0344126167165)
MDE,NormalDistribution(0.628422279667, 0.00914652560895)
CAM,NormalDistribution(0.678302864356, 0.0264748504908)
LAM,NormalDistribution(0.75613424775, 0.0200692929945)
SAS,NormalDistribution(0.929957316566, 0.0241559579142)
SEA,NormalDistribution(0.812239359475, 0.0429547897396)
CHI,NormalDistribution(0.707719142023, 0.0243920096917)
MAF,NormalDistribution(0.336949623687, 0.0195350728174)
SSA,NormalDistribution(0.798533208858, 0.0442837491244)
SIS,NormalDistribution(0.667255915066, 0.0408474363983)
