Region,pc
USA,NormalDistribution(95.3; 95.3)
CAN,NormalDistribution(13.0; 13.0)
WEU,NormalDistribution(153.9; 52.6)
JPK,NormalDistribution(75.5; 54.7)
ANZ,NormalDistribution(36.6; 26.8)
EEU,NormalDistribution(3.1; 1.7)
FSU,NormalDistribution(54.0; 54.0)
MDE,NormalDistribution(18.9; 9.6)
CAM,NormalDistribution(42.3; 33.8)
LAM,NormalDistribution(117.6; 79.0)
SAS,NormalDistribution(172.0; 153.6)
SEA,NormalDistribution(169.7; 84.4)
CHI,NormalDistribution(118.4; 118.4)
MAF,NormalDistribution(19.0; 10.2)
SSA,NormalDistribution(84.3; 38.3)
SIS,NormalDistribution(16.0; 5.7)
