Region,pgadd
USA,NormalDistribution(0.0; 0.0062)
CAN,NormalDistribution(0.0; 0.0062)
WEU,NormalDistribution(0.0; 0.0062)
JPK,NormalDistribution(0.0; 0.0187)
ANZ,NormalDistribution(0.0; 0.0187)
EEU,NormalDistribution(0.0; 0.0062)
FSU,NormalDistribution(0.0; 0.0062)
MDE,NormalDistribution(0.0; 0.0937)
CAM,NormalDistribution(0.0; 0.037)
LAM,NormalDistribution(0.0; 0.037)
SAS,NormalDistribution(0.0; 0.0937)
SEA,NormalDistribution(0.0; 0.0937)
CHI,NormalDistribution(0.0; 0.0187)
MAF,NormalDistribution(0.0; 0.1562)
SSA,NormalDistribution(0.0; 0.1562)
SIS,NormalDistribution(0.0; 0.037)
