Name,taxmp
,
USA,GammaDistribution(5.8284; 0.2071)
CAN,GammaDistribution(5.8284; 0.2071)
WEU,GammaDistribution(5.8284; 0.2071)
JPK,GammaDistribution(5.8284; 0.2071)
ANZ,GammaDistribution(5.8284; 0.2071)
EEU,GammaDistribution(5.8284; 0.2071)
FSU,GammaDistribution(5.8284; 0.2071)
MDE,GammaDistribution(5.8284; 0.2071)
CAM,GammaDistribution(5.8284; 0.2071)
LAM,GammaDistribution(5.8284; 0.2071)
SAS,GammaDistribution(5.8284; 0.2071)
SEA,GammaDistribution(5.8284; 0.2071)
CHI,GammaDistribution(5.8284; 0.2071)
MAF,GammaDistribution(5.8284; 0.2071)
SSA,GammaDistribution(5.8284; 0.2071)
SIS,GammaDistribution(5.8284; 0.2071)
