Region,valinc
USA,NormalDistribution(30000.0; 10000.0)
CAN,NormalDistribution(30000.0; 10000.0)
WEU,NormalDistribution(30000.0; 10000.0)
JPK,NormalDistribution(30000.0; 10000.0)
ANZ,NormalDistribution(30000.0; 10000.0)
EEU,NormalDistribution(30000.0; 10000.0)
FSU,NormalDistribution(30000.0; 10000.0)
MDE,NormalDistribution(30000.0; 10000.0)
CAM,NormalDistribution(30000.0; 10000.0)
LAM,NormalDistribution(30000.0; 10000.0)
SAS,NormalDistribution(30000.0; 10000.0)
SEA,NormalDistribution(30000.0; 10000.0)
CHI,NormalDistribution(30000.0; 10000.0)
MAF,NormalDistribution(30000.0; 10000.0)
SSA,NormalDistribution(30000.0; 10000.0)
SIS,NormalDistribution(30000.0; 10000.0)
